TransactionID,SellerID,SellerAsset,SellerAmount,BuyerID,BuyerAsset,BuyerAmount,TransactionStatus,OrderStartDate,OrderEndDate,Output
4625,3,asst_products,5.0,5,asst_stock,4.0,rejected_by_buyer,2016-05-04,2016-05-23,False
4626,11,asst_stock,1.0,1,asst_products,5.0,accepted,2013-09-26,2013-10-23,True
4627,22,asst_products,5.0,15,asst_factory,3.0,accepted,2012-07-27,2012-08-03,True
4628,23,asst_department,3.0,12,crc_RON,1600000.0, rejected_by_seller,2010-01-20,2010-02-04,True
4629,6,asst_machines,3.0,12,asst_machines,4.0,rejected_by_buyer,2015-03-12,2015-03-23,False
4630,5,asst_stock,2.0,7,asst_machines,2.0,accepted,2010-11-17,2010-11-26,False
4631,26,crc_RON,1100000.0,6,asst_stock,2.0,accepted,2013-11-15,2013-12-04,False
4632,14,crc_EUR,1700000.0,9,crc_RON,499799.0,accepted,2011-12-14,2011-12-14,True
4633,10,asst_machines,5.0,12,asst_machines,1.0,accepted,2010-12-13,2010-12-16,False
4634,14,asst_machines,4.0,19,crc_USD,500000.0, rejected_by_seller,2015-09-26,2015-10-17,True
4635,12,crc_EUR,500000.0,6,asst_stock,5.0,accepted,2011-02-17,2011-03-06,False
4636,2,crc_RON,1500000.0,16,asst_buildings,5.0,accepted,2016-04-12,2016-04-29,False
4637,3,crc_RON,1100000.0,12,crc_USD,3448275.0,accepted,2012-07-21,2012-07-30,False
4638,20,asst_machines,5.0,16,asst_department,4.0,accepted,2014-08-28,2014-09-23,False
4639,1,asst_buildings,5.0,26,crc_RON,1200000.0, accepted,2013-07-23,2013-07-23,True
4640,10,asst_machines,3.0,17,asst_products,4.0,accepted,2016-03-21,2016-03-23,False
4641,2,asst_department,4.0,10,crc_USD,800000.0, accepted,2012-01-04,2012-01-09,False
4642,25,crc_RON,1100000.0,23,asst_stock,1.0,accepted,2013-05-28,2013-06-26,True
4643,12,crc_USD,400000.0,8,asst_machines,5.0,accepted,2010-10-06,2010-10-28,True
4644,4,crc_EUR,1200000.0,26,asst_department,1.0,accepted,2011-12-14,2012-01-04,False
4645,7,crc_USD,1000000.0,6,crc_RON,118999.0,accepted,2016-04-05,2016-04-30,False
4646,21,crc_EUR,1200000.0,13,crc_RON,64800.0,rejected_by_buyer,2012-10-30,2012-11-25,False
4647,3,asst_department,3.0,10,crc_RON,1400000.0, accepted,2011-08-17,2011-09-13,False
4648,16,asst_buildings,2.0,6,asst_buildings,3.0,rejected_by_buyer,2014-02-09,2014-02-25,False
4649,17,asst_buildings,3.0,4,asst_products,3.0,accepted,2015-11-20,2015-12-09,False
4650,25,asst_products,4.0,21,asst_buildings,2.0,accepted,2011-04-12,2011-05-11,True
4651,8,crc_EUR,500000.0,4,crc_RON,67000.0,accepted,2015-09-26,2015-10-13,False
4652,18,asst_buildings,4.0,24,asst_department,5.0,accepted,2016-06-22,2016-07-02,False
4653,20,asst_products,3.0,11,asst_factory,5.0,rejected_by_buyer,2014-08-12,2014-09-08,False
4654,2,asst_products,1.0,1,asst_department,4.0,accepted,2012-09-09,2012-09-10,False
4655,19,asst_machines,3.0,5,asst_factory,1.0,accepted,2012-05-06,2012-05-22,False
4656,16,asst_factory,3.0,11,crc_RON,1200000.0, accepted,2012-09-05,2012-09-16,True
4657,16,asst_department,5.0,25,asst_machines,4.0,rejected_by_seller,2012-07-14,2012-08-11,True
4658,7,asst_machines,4.0,10,asst_stock,3.0,accepted,2011-11-26,2011-12-10,False
4659,20,asst_stock,3.0,3,crc_EUR,1400000.0, accepted,2010-04-06,2010-04-17,False
4660,23,crc_USD,1300000.0,16,asst_machines,1.0,accepted,2011-12-04,2011-12-27,True
4661,24,asst_buildings,1.0,2,asst_factory,5.0,accepted,2013-04-05,2013-04-18,False
4662,23,asst_buildings,4.0,24,asst_department,5.0,accepted,2010-10-21,2010-11-06,False
4663,16,asst_factory,2.0,23,asst_factory,3.0,accepted,2012-10-04,2012-10-23,True
4664,12,asst_products,4.0,1,asst_machines,2.0,rejected_by_seller,2011-12-06,2011-12-23,True
4665,23,asst_machines,5.0,15,asst_products,2.0,accepted,2014-12-25,2015-01-20,True
4666,11,asst_department,1.0,20,asst_products,4.0,accepted,2013-07-08,2013-07-25,False
4667,14,asst_factory,2.0,17,asst_department,2.0,accepted,2014-03-29,2014-04-25,True
4668,9,asst_buildings,2.0,17,asst_stock,1.0,rejected_by_seller,2015-09-24,2015-10-06,True
4669,8,crc_EUR,1000000.0,16,asst_department,5.0,accepted,2015-01-18,2015-01-22,True
4670,5,crc_RON,1700000.0,7,asst_factory,2.0,accepted,2011-11-18,2011-11-29,False
4671,10,asst_buildings,3.0,1,asst_factory,5.0,accepted,2015-02-24,2015-03-23,False
4672,18,asst_factory,2.0,17,asst_buildings,1.0,accepted,2013-03-27,2013-04-24,False
4673,10,crc_RON,1600000.0,22,asst_machines,5.0,accepted,2013-11-30,2013-12-17,False
4674,26,crc_USD,2000000.0,6,asst_department,3.0,accepted,2016-11-19,2016-11-27,False
4675,3,asst_buildings,5.0,8,crc_USD,1400000.0, accepted,2012-09-08,2012-09-17,False
4676,11,asst_products,5.0,5,crc_USD,600000.0, accepted,2010-01-27,2010-02-16,False
4677,10,asst_factory,4.0,2,asst_products,3.0,accepted,2013-09-27,2013-10-15,False
4678,21,crc_USD,1800000.0,9,crc_RON,556199.0,rejected_by_buyer,2010-10-30,2010-11-09,True
4679,1,asst_stock,5.0,26,asst_products,3.0,accepted,2011-12-14,2011-12-16,True
4680,18,asst_buildings,1.0,12,asst_department,4.0,accepted,2016-02-27,2016-03-08,False
4681,14,asst_products,2.0,16,asst_products,5.0,accepted,2015-01-24,2015-01-27,True
4682,19,asst_stock,1.0,25,asst_machines,4.0,accepted,2015-01-01,2015-01-30,True
4683,2,asst_department,4.0,22,asst_machines,1.0,accepted,2016-03-07,2016-03-30,False
4684,11,asst_products,1.0,19,asst_machines,4.0,rejected_by_buyer,2015-01-17,2015-02-02,True
4685,17,asst_department,1.0,5,asst_department,3.0,rejected_by_buyer,2014-07-22,2014-07-29,False
4686,9,crc_EUR,300000.0,26,crc_RON,94200.0,rejected_by_buyer,2016-05-13,2016-06-01,True
4687,8,crc_USD,700000.0,6,asst_department,5.0,accepted,2016-05-08,2016-06-03,False
4688,13,asst_stock,1.0,18,asst_stock,2.0,rejected_by_seller,2013-04-30,2013-05-24,False
4689,4,asst_department,5.0,10,asst_stock,1.0,accepted,2016-03-09,2016-03-22,False
4690,25,crc_USD,900000.0,1,asst_department,2.0,accepted,2010-07-02,2010-07-14,True
4691,5,asst_stock,4.0,25,asst_stock,2.0,accepted,2015-04-30,2015-05-01,False
4692,18,asst_machines,4.0,23,asst_factory,3.0,accepted,2016-07-01,2016-07-26,False
4693,14,asst_department,5.0,5,asst_products,1.0,accepted,2015-12-06,2016-01-04,False
4694,17,crc_RON,300000.0,7,asst_machines,4.0,accepted,2014-11-22,2014-12-18,False
4695,13,crc_EUR,200000.0,1,asst_factory,2.0,accepted,2013-04-30,2013-05-06,False
4696,1,asst_buildings,4.0,13,asst_buildings,2.0,accepted,2012-07-08,2012-07-15,False
4697,18,asst_buildings,4.0,19,crc_RON,1200000.0, accepted,2010-08-29,2010-09-11,False
4698,16,asst_buildings,2.0,2,asst_stock,3.0,accepted,2016-02-22,2016-03-08,False
4699,21,asst_products,4.0,11,crc_EUR,1900000.0, accepted,2014-10-12,2014-10-29,True
4700,24,asst_stock,1.0,22,asst_products,3.0,accepted,2015-08-12,2015-08-23,False
4701,24,crc_RON,1500000.0,2,crc_EUR,34090909.0,accepted,2016-02-28,2016-03-19,False
4702,17,asst_factory,3.0,18,crc_EUR,800000.0, accepted,2014-07-30,2014-08-16,False
4703,21,asst_products,2.0,7,asst_stock,2.0,accepted,2014-05-09,2014-05-16,False
4704,26,crc_USD,200000.0,1,crc_EUR,238043.0,accepted,2015-12-23,2016-01-16,True
4705,22,asst_factory,4.0,20,asst_stock,5.0,accepted,2016-03-06,2016-03-30,False
4706,9,crc_EUR,700000.0,10,crc_USD,118299.0,rejected_by_buyer,2016-06-23,2016-07-18,False
4707,3,crc_USD,1000000.0,5,crc_EUR,339080.0,accepted,2016-01-04,2016-01-08,False
4708,25,asst_department,2.0,21,crc_RON,900000.0, accepted,2015-04-13,2015-05-03,True
4709,18,asst_machines,4.0,25,crc_EUR,1200000.0, accepted,2010-09-05,2010-09-19,False
4710,26,crc_USD,1900000.0,4,asst_department,3.0,accepted,2013-04-02,2013-04-13,False
4711,2,asst_stock,5.0,24,asst_machines,4.0,accepted,2011-10-26,2011-11-11,False
4712,7,asst_stock,2.0,17,crc_USD,1100000.0, rejected_by_buyer,2012-02-20,2012-03-20,False
4713,15,asst_products,1.0,21,crc_USD,800000.0, rejected_by_buyer,2014-11-16,2014-11-28,True
4714,16,asst_department,2.0,25,asst_buildings,1.0,accepted,2016-10-05,2016-10-05,True
4715,6,asst_department,5.0,15,asst_factory,1.0,rejected_by_seller,2012-03-27,2012-04-10,False
4716,7,asst_products,3.0,10,asst_products,4.0,rejected_by_buyer,2011-04-06,2011-04-29,False
4717,5,crc_USD,1600000.0,3,asst_buildings,5.0,accepted,2015-10-12,2015-10-28,False
4718,24,asst_stock,1.0,13,asst_machines,3.0,rejected_by_buyer,2012-09-22,2012-09-27,False
4719,7,crc_RON,400000.0,13,asst_products,4.0,accepted,2011-06-10,2011-06-13,False
4720,25,crc_EUR,1900000.0,4,asst_department,4.0,accepted,2013-05-14,2013-05-29,False
4721,13,crc_EUR,600000.0,24,crc_USD,137400.0,accepted,2011-05-05,2011-05-11,False
4722,25,crc_EUR,500000.0,9,asst_factory,3.0,rejected_by_buyer,2011-02-07,2011-02-27,True
4723,12,crc_RON,1900000.0,14,crc_EUR,6050955.0,rejected_by_buyer,2013-06-07,2013-06-20,True
4724,6,asst_stock,4.0,5,asst_stock,4.0,rejected_by_seller,2010-03-23,2010-04-12,False
4725,25,asst_department,4.0,26,crc_EUR,200000.0, accepted,2010-06-22,2010-07-03,True
4726,7,crc_USD,1600000.0,13,asst_products,2.0,accepted,2016-02-28,2016-03-16,False
4727,10,asst_machines,3.0,7,asst_products,5.0,accepted,2011-10-26,2011-11-20,False
4728,17,asst_stock,5.0,24,crc_RON,1400000.0, accepted,2014-06-19,2014-07-07,False
4729,15,crc_RON,1900000.0,9,asst_machines,2.0,accepted,2016-08-21,2016-09-13,True
4730,23,asst_stock,1.0,17,crc_RON,800000.0, accepted,2014-07-07,2014-07-07,True
4731,3,asst_department,5.0,24,asst_buildings,3.0,accepted,2012-05-22,2012-06-17,False
4732,10,asst_products,1.0,13,asst_products,2.0,accepted,2015-09-22,2015-10-05,False
